Cleaned,Council District,Short Description,Type,Enrolled,Females,Max Count Allowed,Begin Age,End Age,Begin Date,End Date,Begin Time,End Time,Season,
Msgr. Ramon D. Garcia Recreation Center,14,Winter GPLA Basketball: Elementary,Basketball,21,21,60,9,12,1/21/2017,3/24/2017, 5:00 pm, 8:00 pm,Winter,
Lake Street Park,13,Winter GPLA Volleyball - Minors,Volleyball,33,33,40,9,10,1/21/2017,3/25/2017, 9:00 am, 6:00 pm,Winter,
Lake Street Park,13,Spring GPLA Basketball - Elementary,Basketball,6,6,30,9,12,1/21/2017,3/25/2017, 6:00 pm, 9:00 pm,Spring,
South Seas House,10,Winter GPLA Basketball - Minors (9 -10),Basketball,0,0,45,9,10,21-Jan-17,3/25/2017, 9:00 am, 9:00 pm,Winter,
Central Recreation Center,9,Winter Basketball: GPLA Minors,Basketball,8,8,999,9,10,23-Jan-17,3/30/2017, 5:00 pm, 9:00 pm,Winter,
Central Recreation Center,9,Winter GPLA Basketball: Minors,Basketball,0,0,100,9,10,28-Jan-17,4/8/2017, 9:00 am, 6:00 pm,Winter,
Ross Snyder Recreation Center,9,Winter GPLA Basketball - Minors,Basketball,0,0,30,9,10,28-Jan-17,3/25/2017, 9:00 am, 5:00 pm,Winter,
Ross Snyder Recreation Center,9,Winter GPLA Basketball,Basketball,39,39,48,9,15,4-Feb-17,4/1/2017, 9:00 am, 2:00 pm,Winter,
Ross Snyder Recreation Center,9,Spring GPLA Minors Softball,Softball,0,0,75,9,12,10-Feb-17,6/3/2017, 9:00 am, 9:00 pm,Spring,
Ross Snyder Recreation Center,9,Spring GPLA Softball,Basketball,0,0,120,9,15,11-Feb-17,4/8/2017, 5:30 pm, 9:00 pm,Spring,
South Park Recreation Center,9,Spring Softball: GPLA Elementary (9-12),Softball,0,0,40,9,12,11-Feb-17,4/1/2017, 9:00 am, 6:00 pm,Spring,
Imperial Courts Recreation Center,15,Winter GPLA Volleyball,Volleyball,31,31,40,9,15,11-Feb-17,3/25/2017, 9:00 am, 6:00 pm,Winter,
Saint Andrews Recreation Center,8,Spring GPLA Soccer - Minor,Soccer Futsal,82,82,999,9,10,25-Feb-17,5/31/2017,12:00 PM, 1:00 pm,Spring,
Saint Andrews Recreation Center,8,Spring GPLA Volleyball - Minor,Soccer Futsal,35,35,50,9,10,25-Feb-17,5/31/2017, 1:00 pm, 2:00 pm,Spring,
Saint Andrews Recreation Center,8,Spring Softball: GPLA Elementary (9 - 13),Softball,0,0,30,9,13,27-Feb-17,5/3/2017, 9:00 am, 9:00 pm,Spring,
Queen Anne Recreation Center,10,Spring Softball: GPLA Elementary,Softball,0,0,200,9,12,1-Mar-17,6/30/2017, 9:30 am,10:30 AM,Spring,
Lemon Grove Recreation Center,13,Spring GPLA Basketball: Minors,Basketball,0,0,60,9,10,3/4/2017,4/22/2017, 9:00 am, 6:00 pm,Spring,
109th Street Recreation Center,15,Spring GPLA Softball - Elementary (9 - 12),Softball,77,77,100,9,12,3/8/2017,6/30/2017, 9:00 am, 9:00 pm,Spring,
109th Street Recreation Center,15,Spring GPLA Minors Soccer,Soccer Futsal,35,35,60,9,10,3/18/2017,4/29/2017, 9:00 am, 5:00 pm,Spring,
Rose Hill Recreation Center,14,Spring GPLA Minors Volleyball,Volleyball,36,36,50,9,10,3/18/2017,4/29/2017, 9:00 am, 5:00 pm,Spring,
Rose Hill Recreation Center,14,Spring GPLA Basketball - Elementary,Basketball,9,9,20,9,12,3/22/2017,4/5/2017, 6:00 pm, 9:00 pm,Spring,
Denker Recreation Center,8,Spring GPLA Softball - Elementary,Softball,0,0,200,9,12,3/23/2017,6/10/2017, 5:00 pm, 9:00 pm,Spring,
Denker Recreation Center,8,GPLA Softball,Softball,0,0,30,9,15,4/1/2017,6/3/2017, 9:00 am, 5:00 pm,Spring,
Denker Recreation Center,8,Spring GPLA Softball: Elementary,Softball,0,0,40,9,12,4/1/2017,5/20/2017, 9:00 am, 6:00 pm,Spring,
Jim Gilliam Recreation Center,10,Spring GPLA Softball,Softball,0,0,100,9,15,4/1/2017,6/3/2017,11:00 AM, 3:00 pm,Spring,
Jim Gilliam Recreation Center,10,Spring GPLA  Softball: Elementary,Softball,0,0,200,9,12,4/1/2017,5/27/2017, 4:00 pm, 8:00 pm,Spring,
James Slauson Recreation Center,9,Spring Basketball - GPLA Minor (9-10),Basketball,1,1,55,9,10,4/1/2017,6/30/2017, 9:00 am, 6:00 pm,Spring,
James Slauson Recreation Center,9,Spring GPLA Softball - Minor,Softball,0,0,40,9,10,4/1/2017,6/17/2017, 9:30 am,12:00 PM,Spring,
James Slauson Recreation Center,9,Spring GPLA Softball: Elementary,Softball,50,50,50,9,12,4/1/2017,6/24/2017, 5:30 pm, 9:30 pm,Spring,
James Slauson Recreation Center,9,Spring GPLA Softball,Softball,0,0,45,9,15,4/1/2017,6/10/2017, 9:00 am,11:00 AM,Spring,
Normandie Recreation Center,1,Spring Softball: GPLA Elementary (9 - 12),Softball,0,0,60,9,12,4/1/2017,6/30/2017, 9:00 am, 8:00 pm,Spring,
Normandie Recreation Center,1,Spring GPLA Basketball,Basketball,0,0,50,9,15,4/3/2017,5/24/2017, 6:00 pm, 8:00 pm,Spring,
Normandie Recreation Center,1,GPLA Elementary Softball,Softball,0,0,50,9,12,4/8/2017,6/3/2017, 4:00 pm, 8:00 pm,Spring,
Trinity Recreation Center,9,Spring GPLA Elementary Softball,Softball,10,10,45,9,12,4/8/2017,6/10/2017, 9:00 am, 5:00 pm,Spring,
Trinity Recreation Center,9,Spring Basketball: GPLA Minors,Basketball,7,7,20,9,10,4/8/2017,6/24/2017, 9:00 am, 6:00 pm,Spring,
Algin Sutton Recreation Center,8,Spring GPLA Softball,Softball,8,8,20,9,15,4/8/2017,6/10/2017, 9:00 am, 4:00 pm,Spring,
Algin Sutton Recreation Center,8,Spring GPLA Softball - Elementary,Softball,0,0,25,9,12,4/12/2017,6/14/2017, 6:00 pm, 9:00 pm,Spring,
Algin Sutton Recreation Center,8,Spring GPLA Softball: Minors,Softball,0,0,48,9,10,4/14/2017,6/17/2017, 9:00 am, 6:00 pm,Spring,
Fred Roberts Recreation Center,9,Spring GPLA Softball: Elementary,Softball,0,0,60,9,12,4/15/2017,6/17/2017, 9:00 am, 6:00 pm,Spring,
Fred Roberts Recreation Center,9,Spring GPLA Softball - Elementary,Softball,35,35,100,9,12,4/15/2017,6/17/2017, 5:30 pm, 7:30 pm,Spring,
Fred Roberts Recreation Center,9,Spring GPLA Softball Elementary (9-12),Softball,20,20,30,9,12,4/15/2017,6/10/2017, 9:00 am, 5:00 pm,Spring,
State Street Recreation Center,14,Spring Softball - GPLA,Softball,0,0,25,9,15,4/15/2017,6/3/2017, 9:00 am, 9:00 pm,Spring,
State Street Recreation Center,14,Spring GPLA Basketball: Minors,Basketball,0,0,120,9,10,4/15/2017,6/10/2017, 5:00 pm, 8:00 pm,Spring,
Lanark Recreation Center,3,Spring Girls Volleyball - GPLA,Volleyball,9,9,15,9,15,4/17/2017,6/30/2017, 9:00 am, 5:00 pm,Spring,
Lanark Recreation Center,3,Spring Softball - GPLA,Softball,6,6,40,9,15,4/17/2017,6/30/2017, 9:00 am, 5:00 pm,Spring,
Green Meadows Recreation Center,9,Spring GPLA Softball: Elementary,Softball,0,0,50,9,12,4/22/2017,6/10/2017,10:00 AM, 4:00 pm,Spring,
Rosecrans Recreation Center,15,Spring Softball: GPLA Elementary (9 - 10 ),Softball,0,0,60,9,10,4/22/2017,6/3/2017, 9:00 am, 9:00 pm,Spring,
Rosecrans Recreation Center,15,Spring GPLA Softball: Minors,Softball,0,0,30,9,10,4/22/2017,6/24/2017, 9:00 am, 6:00 pm,Spring,
Stonehurst Recreation Center,7,Spring GPLA Softball: Elementary,Softball,8,8,60,9,12,4/22/2017,6/10/2017, 6:00 pm, 9:00 pm,Spring,
Valley Plaza Park,2,Spring GPLA Softball: Elementary,Softball,0,0,100,9,12,4/22/2017,6/10/2017, 5:00 pm, 8:00 pm,Spring,
Valley Plaza Park,2,Spring GPLA Softball - Elementary,Softball,22,22,50,9,12,4/29/2017,6/24/2017, 9:00 am, 6:00 pm,Spring,
WIlmington Recreation Center,15,Spring GPLA Volleyball Clinic,Volleyball,0,0,80,9,15,5/2/2017,5/30/2017, 6:00 pm, 8:00 pm,Spring,
Ritchie Valens Park,7,Spring GPLA Basketball (11 - 12),Basketball,12,12,60,9,15,5/6/2017,6/24/2017,10:00 AM, 2:00 pm,Spring,
Ritchie Valens Park,7,Spring/Summer GPLA Basketball - Minors,Basketball,0,0,30,9,10,5/27/2017,7/29/2017,10:00 AM, 9:00 pm,Spring,
Richie Valens Park,7,Summer GPLA Basketball: Minors,Basketball,0,0,40,9,10,6/1/2017,9/9/2017, 9:00 am, 6:00 pm,Summer,
Ritchie Valens Park,7,Summer GPLA Basketball Minors (9-10),Basketball,0,0,40,9,10,6/3/2017,8/26/2017, 9:00 am, 2:00 pm,Summer,
Ritchie Valens Park,7,Summer GPLA Basketball - Minors,Basketball,8,8,75,9,10,6/10/2017,8/26/2017, 5:00 pm, 9:00 pm,Summer,
Ritchie Valens Park,7,Summer GPLA Basketball - Minor,Basketball,30,30,60,9,10,6/10/2017,9/2/2017, 9:00 am, 5:00 pm,Summer,
Pecan Recreation Center,14,Summer GPLA Basketball - Elementary (9 - 11),Basketball,19,19,60,9,11,6/10/2017,8/25/2017, 9:00 am, 5:00 pm,Summer,
Pecan Recreation Center,14,Summer GPLA Kickball,Soccer Futsal,25,25,60,9,15,6/10/2017,7/15/2017, 5:00 pm, 8:00 pm,Summer,
Pecan Recreation Center,14,Summer GPLA Basketball,Basketball,37,37,60,9,15,7/1/2017,8/26/2017, 5:30 pm, 7:30 pm,Summer,
State Street Recreation Center,14,Summer GPLA Softball,Softball,2,2,22,9,15,7/1/2017,8/26/2017, 5:30 pm, 7:30 pm,Summer,
State Street Recreation Center,14,Summer Girls GPLA Basketball: Minors/Majors,Basketball,0,0,50,9,12,7/1/2017,8/12/2017, 9:00 am, 1:00 pm,Summer,
Banning Park,15,Summer GPLA Volleyball: Elementary,Volleyball,56,56,80,9,12,7/3/2017,10/30/2017, 4:00 pm, 7:00 pm,Summer,
Banning Park,15,Summer GPLA Beach Soccer - Minors,Soccer Futsal,12,12,60,9,10,7/6/2017,9/16/2017, 4:30 pm, 5:30 pm,Summer,
Banning Park,15,Summer GPLA Beach Volleyball - Minors,Volleyball,0,0,30,9,10,7/6/2017,9/16/2017, 4:30 pm, 5:30 pm,Summer,
Sepulveda Recreation Center,6,Summer GPLA Basketball - Minor,Basketball,0,0,60,9,10,7/8/2017,9/9/2017, 9:00 am, 9:00 pm,Summer,
Sepulveda Recreation Center,6,Summer GPLA Basketball - Elementary,Basketball,0,0,50,9,11,7/8/2017,9/9/2017,11:00 AM, 3:00 pm,Summer,
Hubert H. Humphrey Memorial Park,7,Summer GPLA Basketball - Minors,Basketball,58,58,60,9,10,7/8/2017,9/2/2017, 9:00 am, 6:00 pm,Summer,
Hubert H. Humphrey Memorial Park,7,Summer GPLA Softball,Softball,0,0,48,9,15,7/8/2017,9/9/2017, 9:00 am, 5:00 pm,Summer,
Hubert H. Humphrey Memorial Park,7,Summer GPLA Soccer - Elementary,Soccer Futsal,0,0,60,9,12,7/8/2017,9/2/2017, 9:00 am, 5:00 pm,Summer,
Hubert H. Humphrey Memorial Park,7,Summer GPLA Volleyball League,Volleyball,17,17,25,9,15,7/22/2017,9/9/2017, 9:00 am, 6:00 pm,Summer,
Hubert H. Humphrey Memorial Park,7,Summer GPLA Softball,Softball,32,32,40,9,15,7/22/2017,8/26/2017, 5:00 pm, 8:00 pm,Summer,
Hubert H. Humphrey Memorial Park,7,Fall GPLA Soccer - Minors,Soccer Futsal,25,25,100,9,10,9/9/2017,11/18/2017,10:00 AM,11:00 AM,Fall,
Jim Gilliam Recreation Center,10,Fall GPLA Softball - Minors,Softball,0,0,60,9,10,9/9/2017,11/25/2017, 9:30 am,12:00 PM,Fall,
Cypress Recreation Center,1,Winter GPLA Basketball (10 - 13),Basketball,33,33,40,10,13,1/14/2017,3/31/2017, 9:00 am, 5:30 pm,Winter,
Cypress Recreation Center,1,Winter GPLA Basketball - Majors,Basketball,0,0,50,11,12,1/4/2017,3/29/2017, 6:00 pm, 7:00 pm,Winter,
Van Ness Recreation Center,8,Winter GPLA Basketball - Majors,Basketball,0,0,40,11,12,1/7/2017,3/31/2017, 9:00 am, 9:00 pm,Winter,
Van Ness Recreation Center,8,Winter GPLA Girls Basketball: Majors (11-12),Basketball,5,5,60,11,12,1/7/2017,3/11/2017, 8:00 am,11:00 AM,Winter,
Normandale Recreation Center,15,Winter GPLA Basketball - Major (11-13),Basketball,0,0,28,11,13,1/7/2017,2/25/2017, 9:00 am, 9:00 pm,Winter,
Normandale Recreation Center,15,Winter GPLA Basketball: Majors,Basketball,72,72,100,11,12,1/9/2017,3/25/2017, 5:00 pm, 8:00 pm,Winter,
Normandale Recreation Center,15,Winter GPLA Basketball - Major (11 - 12),Basketball,0,0,60,11,12,1/14/2017,3/18/2017, 9:00 am, 6:00 pm,Winter,
Normandale Recreation Center,15,Winter GPLA Basketball - Major (11-12),Basketball,32,32,32,11,12,1/14/2017,2/25/2017, 2:00 pm, 7:00 pm,Winter,
Branford Park,6,Winter GPLA Basketball - Majors (11-12),Basketball,10,10,32,11,12,1/14/2017,3/4/2017, 9:00 am, 5:00 pm,Winter,
Westchester Recreation Center,11,Winter GPLA Basketball - Junior (11-15),Basketball,0,0,24,11,15,1/14/2017,2/25/2017, 9:00 am, 2:00 pm,Winter,
Stoner Recreation Center,11,Summer GPLA - Majors (11-12),Basketball,1,1,36,11,12,1/14/2017,3/11/2017, 9:00 am, 2:00 pm,Winter,
Elysian Valley Recreation Center,13,Winter GPLA Basketball - Major (11-13),Basketball,0,0,100,11,13,1/14/2017,2/25/2017, 9:00 am, 5:00 pm,Winter,
Elysian Valley Recreation Center,13,Winter GPLA Basketball: Majors,Basketball,10,10,45,11,12,1/14/2017,3/24/2017, 5:00 pm, 8:00 pm,Winter,
Hubert H. Humphrey Memorial Park,7,Winter GPLA Basketball: Majors/Juniors,Basketball,0,0,48,11,15,1/14/2017,3/24/2017, 5:00 pm, 8:00 pm,Winter,
Oakwood Recreation Center,11,Winter GPLA Basketball - Majors (11 -12),Basketball,0,0,50,11,12,1/14/2017,3/25/2017, 9:00 am, 9:00 pm,Winter,
Oakwood Recreation Center,11,Winter GPLA Basketball - Majors,Basketball,0,0,40,11,12,1/20/2017,3/4/2017,10:00 AM, 9:00 pm,Winter,
Oakwood Recreation Center,11,Winter GPLA Basketball - Majors,Basketball,26,26,60,11,12,1/21/2017,2/25/2017, 6:00 pm, 9:00 pm,Winter,
Ritchie Valens Park,7,Winter GPLA Volleyball - Majors,Volleyball,17,17,60,11,12,1/21/2017,3/25/2017, 9:00 am, 6:00 pm,Winter,
Ritchie Valens Park,7,Winter GPLA Basketball - Majors (11 -12),Basketball,46,46,56,11,12,1/21/2017,3/25/2017, 9:00 am, 9:00 pm,Winter,
Ritchie Valens Park,7,Winter Basketball: GPLA Majors,Basketball,0,0,30,11,12,1/23/2017,3/30/2017, 5:00 pm, 9:00 pm,Winter,
